batch,n_matched,n_unmatched,coverage,popular_mean_score,popular_unmatched_rate,mean_score,median_score,std_score,score_range,remaining_capacity,avg_compatible_mentors,load_mean,load_std,load_cv,load_gini,pct_above_0.50,pct_above_0.60,pct_above_0.70,pct_above_0.80,pct_above_0.90,remaining_capacity_field_Architecture and urban planning,"remaining_capacity_field_Biotech, pharmaceutical, life sciences, and medical devices",remaining_capacity_field_Business,remaining_capacity_field_Consulting and strategy,remaining_capacity_field_Corporate and general management,remaining_capacity_field_Design,remaining_capacity_field_Education,"remaining_capacity_field_Energy, sustainability and the environment",remaining_capacity_field_Engineering,remaining_capacity_field_Entrepreneurship and startups,"remaining_capacity_field_Finance, investment and financial services",remaining_capacity_field_Hospitality,remaining_capacity_field_Human resources,remaining_capacity_field_IT and technology,"remaining_capacity_field_Journalism, publishing and communications",remaining_capacity_field_Law and legal services,remaining_capacity_field_Marketing,remaining_capacity_field_Media and entertainment,remaining_capacity_field_Medicine and healthcare,remaining_capacity_field_Non-profit and social enterprise,remaining_capacity_field_Policy and advocacy,remaining_capacity_field_Psychology and social work,remaining_capacity_field_Public service and government,remaining_capacity_field_Veterinary medicine
batch_1,12,0,1.0,0.94,0,0.945,0.94,0.042746610710940894,0.12,113,11.35897435897436,1.0909090909090908,0.30151134457776363,0.27638539919628335,0.07575757575757591,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,4.0,7.0,7.0,1,2,3,2.0,9,3.0,11,4,1.0,2.0,4,9,2,3,12.0,5,4,7,7,3
batch_2,29,7,0.8055555555555556,0.9644444444444444,0,0.9262068965517242,0.94,0.05882260213699735,0.19999999999999996,91,34.13333333333333,1.2083333333333333,0.41485111699905347,0.34332506234404425,0.1364942528735631,1.0,1.0,1.0,1.0,0.7241379310344828,1.0,2.0,3.0,3.0,1,2,1,2.0,7,3.0,8,4,,,4,10,3,3,8.0,5,3,7,8,3
batch_3,22,11,0.6666666666666666,0.99,0,0.9509090909090908,0.98,0.049656831008440976,0.16000000000000003,94,31.46153846153846,1.2222222222222223,0.42779263194649864,0.3500121534107716,0.14141414141414144,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,4.0,3.0,2,2,1,2.0,5,3.0,5,4,2.0,1.0,4,14,3,3,6.0,4,3,7,10,4
batch_4,28,25,0.5283018867924528,0.9279999999999999,0,0.9185714285714285,0.91,0.0634626916188813,0.19999999999999996,66,51.10606060606061,1.1666666666666667,0.3806934938134405,0.32630870898294895,0.11904761904761907,1.0,1.0,1.0,1.0,0.6428571428571429,,,1.0,1.0,2,2,1,,4,1.0,2,4,2.0,1.0,4,14,1,2,3.0,3,2,6,6,4
batch_5,21,47,0.3088235294117647,0.915,0,0.9000000000000001,0.9,0.057965506984757734,0.19999999999999996,45,66.47826086956522,1.05,0.22360679774997902,0.21295885499998002,0.0452380952380953,1.0,1.0,1.0,1.0,0.6190476190476191,,,,,1,2,1,,2,,2,4,2.0,1.0,4,9,1,2,,1,1,6,3,3
